Genre Group,Count
Animation/Comedy/Music,14
Family/Reality-TV,14
Animation/Documentary,14
Adventure/Reality-TV,14
Fantasy/Sci-Fi,14
Drama/Music/Musical,14
Family/Sport,14
Drama/History/Western,14
Adventure/Family/Mystery,13
Drama/History/Sport,13
Crime/Drama/Sci-Fi,13
Comedy/Horror/Musical,13
Drama/Fantasy/Music,13
Action/Short,13
Action/Sport,13
Action/Fantasy/Thriller,13
Music/Reality-TV,13
Comedy/Fantasy/Musical,13
Adventure/Fantasy/Romance,13
Comedy/Horror/Music,13
Comedy/Documentary/Music,12
Crime/Horror,12
Biography/Drama/Musical,12
Drama/Film-Noir,12
Action/Animation/Horror,12
Animation/Drama/Sci-Fi,12
Action/Documentary/Drama,12
Animation/Family/Music,12
Drama/Short/Thriller,12
Drama/Reality-TV,12
Documentary/Drama/Fantasy,12
Biography/Documentary/Short,12
Horror/Romance,12
Horror/Romance/Thriller,12
Music/Romance,12
Animation/Music,12
Documentary/Short/Sport,12
Crime/Drama/Musical,11
Horror/Western,11
Comedy/Documentary/History,11
Animation/Drama/History,11
Animation/Fantasy/Romance,11
Animation/Family/Sci-Fi,11
Adventure/Game-Show/Reality-TV,11
Comedy/Crime/Fantasy,11
Action/Comedy/Sport,11
Adventure/Comedy/Documentary,11
Action/History/War,11
Documentary/Mystery,11
Animation/Comedy/Horror,11
Comedy/Romance/Western,11
Sci-Fi/Short,11
Documentary/Western,11
Fantasy/Mystery/Thriller,11
Action/Drama/Music,11
Action/History,11
Fantasy/Mystery/Romance,11
Action/Crime/Fantasy,11
Documentary/History/Short,11
Animation/Fantasy/Horror,11
Comedy/Fantasy/Music,11
Action/Documentary,10
Family/Western,10
Adventure/Documentary/Reality-TV,10
Comedy/Documentary/Family,10
Adventure/Crime/Mystery,10
Action/Animation/Sport,10
Drama/History/Horror,10
Documentary/Family/History,10
Family/Game-Show,10
Drama/Horror/Western,10
Family/Fantasy/Romance,10
Animation/Documentary/History,10
Family/Short,10
Action/Animation,10
Family/Drama,9
Comedy/Sci-Fi/Thriller,9
Crime/Drama/Western,9
Drama/History/Music,9
Action/Comedy/History,9
Drama/Music/Mystery,9
Adventure/Sci-Fi/Thriller,9
Comedy/History/Romance,9
Action/Biography/Documentary,9
Action/Romance/Western,9
Drama/Film-Noir/Mystery,9
Documentary/Musical,9
Drama/Fantasy/Short,9
Comedy/Game-Show/Reality-TV,9
Crime/Documentary/Sport,9
Crime/Documentary/Thriller,9
Romance/Short,9
Fantasy/Horror/Romance,9
Animation/Family/History,9
Crime/Documentary/Reality-TV,8
Documentary/History/Sci-Fi,8
Crime/Drama/Short,8
Documentary/Drama/Music,8
Adventure/Comedy/Musical,8
Documentary/Talk-Show,8
Action/Comedy/Documentary,8
Action/Comedy/Western,8
Animation/Comedy/Musical,8
Drama/Comedy,8
